17:40:50 [DEBUG] (1) rust_text_editor::editor::view: After move: loc=Location { grapheme_index: 33, row: 8 }, scroll=Position { row: 0, col: 0 }, max_grapheme_ind=33
17:40:51 [DEBUG] (1) rust_text_editor::editor::view: After move: loc=Location { grapheme_index: 34, row: 8 }, scroll=Position { row: 0, col: 0 }, max_grapheme_ind=34
17:40:51 [DEBUG] (1) rust_text_editor::editor::view: After move: loc=Location { grapheme_index: 35, row: 8 }, scroll=Position { row: 0, col: 0 }, max_grapheme_ind=35
17:40:51 [DEBUG] (1) rust_text_editor::editor::view: After move: loc=Location { grapheme_index: 36, row: 8 }, scroll=Position { row: 0, col: 0 }, max_grapheme_ind=36
17:40:51 [DEBUG] (1) rust_text_editor::editor::view: After move: loc=Location { grapheme_index: 37, row: 8 }, scroll=Position { row: 0, col: 0 }, max_grapheme_ind=37
17:40:51 [DEBUG] (1) rust_text_editor::editor::view: After move: loc=Location { grapheme_index: 38, row: 8 }, scroll=Position { row: 0, col: 0 }, max_grapheme_ind=38
17:40:51 [DEBUG] (1) rust_text_editor::editor::view: After move: loc=Location { grapheme_index: 39, row: 8 }, scroll=Position { row: 0, col: 0 }, max_grapheme_ind=39
17:40:51 [DEBUG] (1) rust_text_editor::editor::view: After move: loc=Location { grapheme_index: 40, row: 8 }, scroll=Position { row: 0, col: 0 }, max_grapheme_ind=40
17:40:51 [DEBUG] (1) rust_text_editor::editor::view: After move: loc=Location { grapheme_index: 41, row: 8 }, scroll=Position { row: 0, col: 0 }, max_grapheme_ind=41
17:40:51 [DEBUG] (1) rust_text_editor::editor::view: After move: loc=Location { grapheme_index: 42, row: 8 }, scroll=Position { row: 0, col: 0 }, max_grapheme_ind=42
17:40:56 [DEBUG] (1) rust_text_editor::editor::view: After move: loc=Location { grapheme_index: 37, row: 6 }, scroll=Position { row: 0, col: 0 }, max_grapheme_ind=37
17:40:57 [DEBUG] (1) rust_text_editor::editor::view: After move: loc=Location { grapheme_index: 29, row: 6 }, scroll=Position { row: 0, col: 0 }, max_grapheme_ind=29
